Collision Id,Report Number,Report Version,Is Preliminary,NCIC Code,Crash Date Time,Crash Time Description,Beat,City Id,City Code,City Name,County Code,City Is Active,City Is Incorporated,Collision Type Code,Collision Type Description,Collision Type Other Desc,Day Of Week,DispatchNotified,HasPhotographs,HitRun,IsAttachmentsMailed,IsDeleted,IsHighwayRelated,IsTowAway,JudicialDistrict,MotorVehicleInvolvedWithCode,MotorVehicleInvolvedWithDesc,MotorVehicleInvolvedWithOtherDesc,NumberInjured,NumberKilled,Weather 1,Weather 2,Road Condition 1,Road Condition 2,Special Condition,LightingCode,LightingDescription,Latitude,Longitude,MilepostDirection,MilepostDistance,MilepostMarker,MilepostUnitOfMeasure,PedestrianActionCode,PedestrianActionDesc,PreparedDate,Primary Collision Factor Code,Primary Collision Factor Violation,PrimaryCollisionFactorIsCited,PrimaryCollisionPartyNumber,PrimaryRoad,ReportingDistrict,ReportingDistrictCode,ReviewedDate,RoadwaySurfaceCode,SecondaryDirection,SecondaryDistance,SecondaryRoad,SecondaryUnitOfMeasure,SketchDesc,TrafficControlDeviceCode,CreatedDate,ModifiedDate,IsCountyRoad,IsFreeway,CHP555Version,IsAdditonalObjectStruck,NotificationDate,NotificationTimeDescription,HasDigitalMediaFiles,EvidenceNumber,IsLocationReferToNarrative,IsAOIOneSameAsLocation
2304132,9335-2024-00032,1,False,9335,1/5/2024 11:00:00 AM,1100,013,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Friday,Yes,False,,,False,True,False,SAN FRANCISCO SUPERIOR COURT HALL OF JUSTICE,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS,,,A,DAYLIGHT,37.732912,-122.405538,,,,,E,IN ROAD - INCLUDES SHOULDER,1/5/2024 11:00:00 AM,A,VC 21954(A),False,2,US-101 S/B,,,2/2/2024 12:43:36 PM,A,N,86,SILVER AVE O/C,F,,D,2/2/2024 12:43:40 PM,2/2/2024 12:43:40 PM,False,True,4,,1/5/2024 11:02:00 AM,1102,True,AREA PHOTO FILE,,True
2311077,9335-2024-00283,1,False,9335,2/4/2024 2:06:00 AM,0206,013,1227,3801,San Francisco,38,True,True,C,REAR END,,Sunday,Yes,False,,,False,True,True,SAN FRANCISCO SUPERIOR COURT SAN FRANCISCO,C,OTHER MOTOR VEHICLE,,3,0,RAINING,,NO UNUSUAL CONDITIONS,,,C,DARK-STREET LIGHTS,37.756801,-122.403514,,,,,E,IN ROAD - INCLUDES SHOULDER,2/4/2024 2:06:00 AM,A,VC 23152(a),False,1,US-101 S/B,,,2/11/2024 10:07:25 AM,B,S,15,22ND STREET PEDESTRIAN OVERCROSSING,F,,D,2/11/2024 10:07:27 AM,2/11/2024 10:07:27 AM,False,True,4,,2/4/2024 2:07:00 AM,0207,True,AREA PHOTO FILE,,True
2345029,9335-2024-00174,1,False,9335,1/20/2024 7:41:00 PM,1941,023,1227,3801,San Francisco,38,True,True,B,SIDE SWIPE,,Saturday,Yes,False,M,,False,True,True,SAN FRANCISCO SUPERIOR COURT SAN FRANCISCO,C,OTHER MOTOR VEHICLE,,4,0,CLOUDY,,NO UNUSUAL CONDITIONS,,,B,DUSK-DAWN,37.733154,-122.411748,,,,,E,IN ROAD - INCLUDES SHOULDER,1/20/2024 7:41:00 PM,A,VC 21658(A),False,1,I-280 N/B TO US-101 S/B,,,3/22/2024 2:52:58 PM,B,N,860,THE NORTH ALAMANY BOULEVARD OVERCROSSING,F,,D,3/22/2024 2:53:01 PM,3/22/2024 2:53:01 PM,False,True,4,,1/20/2024 7:42:00 PM,1942,True,AREA PHOTO FILE,,True
2409759,9335-2024-01248,1,False,9335,5/31/2024 2:58:00 AM,0258,083,1227,3801,San Francisco,38,True,True,C,REAR END,,Friday,Yes,False,,,False,True,True,SAN FRANCISCO SUPERIOR COURT HALL OF JUSTICE,C,OTHER MOTOR VEHICLE,,2,0,CLEAR,,NO UNUSUAL CONDITIONS,,,D,DARK-NO STREET LIGHTS,37.791298,-122.385288,,,,,E,IN ROAD - INCLUDES SHOULDER,5/31/2024 2:58:00 AM,A,VC 22350,False,1,I-80 E/B,,,6/9/2024 9:24:24 AM,A,E,0.21,THE EMBARCADERO UNDERCROSSING,M,,D,6/9/2024 9:24:29 AM,6/9/2024 9:24:29 AM,False,True,4,,5/31/2024 2:58:00 AM,0258,False,,,True
2453141,240026367,2,False,3801,1/12/2024 3:32:00 PM,1532,3D16D,1227,3801,San Francisco,38,True,True,A,HEAD-ON,,Friday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,,,,A,DAYLIGHT,,,,,,,E,IN ROAD - INCLUDES SHOULDER,,A,22107,,1,22ND ST,MISSI,,,A,,,SAN BRUNO AV,,,D,7/22/2024 10:53:09 AM,1/28/2025 11:09:13 AM,,,2,,,,,,,
2453140,240022371,2,False,3801,1/10/2024 8:54:00 PM,2054,5,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Wednesday,,,,,False,False,True,,B,PEDESTRIAN,,0,0,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,C,DARK-STREET LIGHTS,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,21950A,,1,MISSION ST,INGLE,,,B,,,FLORINTINE AV,,,D,7/22/2024 10:53:09 AM,1/28/2025 11:09:13 AM,,,2,,,,,,,
2453139,240046008,2,False,3801,1/21/2024 6:28:00 PM,1828,4B104,1227,3801,San Francisco,38,True,True,,,,Sunday,,,,,False,False,False,,,,,1,0,RAINING,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,C,DARK-STREET LIGHTS,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,21456B,,1,SUNSET BL,TRAFF,,,B,N,4,OCEAN AV,F,,A,7/22/2024 10:53:09 AM,1/28/2025 11:09:12 AM,,,2,,,,,,,
2453102,240082240,2,False,3801,2/7/2024 6:08:00 AM,0608,3E16A,1227,3801,San Francisco,38,True,True,G,VEHICLE/PEDESTRAIN,,Wednesday,,,,,False,False,False,,B,PEDESTRIAN,,2,0,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,C,DARK-STREET LIGHTS,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,22450A,,1,GOUGH ST,NORTH,,,A,,,GREENWICH ST,,,A,7/22/2024 10:53:07 AM,1/28/2025 11:09:11 AM,,,2,,,,,,,
2453099,240093526,2,False,3801,2/11/2024 11:23:00 PM,2323,3C15E,1227,3801,San Francisco,38,True,True,A,HEAD-ON,,Sunday,,,,,False,False,False,,B,PEDESTRIAN,,1,0,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,C,DARK-STREET LIGHTS,,,,,,,B,CROSSING IN CROSS WALK AT INTERSECTION,,A,21950,,1,PALOU AV,BAYVI,,,A,,,PHELPS ST,,,D,7/22/2024 10:53:07 AM,1/28/2025 11:09:11 AM,,,2,,,,,,,
2453089,240093429,2,False,3801,2/11/2024 10:25:00 PM,2225,3H16E,1227,3801,San Francisco,38,True,True,D,BROADSIDE,,Sunday,,,,,False,False,True,,B,PEDESTRIAN,,2,0,CLEAR,,NO UNUSUAL CONDITIONS - NO UNUSUAL CONDITIONS,,,C,DARK-STREET LIGHTS,,,,,,,D,CROSSING - NOT IN CROSSWALK,,A,,,1,MISSION ST,INGLE,,,,N,64,RICHLAND AV,F,,D,7/22/2024 10:53:06 AM,1/28/2025 11:09:10 AM,,,2,,,,,,,
