Year,CollisionId,Address,PrimaryRoad,SecondaryRoad,Latitude,Longitude,CrashDateTime
2021,1459240,US-101 N/B (GGB EAST SIDEWALK) & GGB SOUTH TOWER,US-101 N/B (GGB EAST SIDEWALK),GGB SOUTH TOWER,37.811743,-122.477211,4/20/2021 11:41:00 AM
2021,1559388,US-101 N/B- GGB EAST SIDEWALK & NORTH TOWER OF GOLDEN GATE BRIDGE,US-101 N/B- GGB EAST SIDEWALK,NORTH TOWER OF GOLDEN GATE BRIDGE,37.82299,-122.47878,8/25/2021 9:34:00 AM
2021,1573712,EAST PARKING LOT OF GOLDEN GATE BRIGDE & LINCOLN BOULEVARD,EAST PARKING LOT OF GOLDEN GATE BRIGDE,LINCOLN BOULEVARD,37.807187,-122.474038,9/10/2021 9:00:00 AM
2021,2728135,GOETTINGEN ST & DWIGHT ST,GOETTINGEN ST,DWIGHT ST,,,3/8/2021 1:56:00 PM
2021,2733451,CLAY ST & DIVISADERO ST,CLAY ST,DIVISADERO ST,,,1/17/2021 9:35:00 AM
2021,2733452,18TH ST & LEXINGTON ST,18TH ST,LEXINGTON ST,,,1/16/2021 6:29:00 PM
2021,2733456,LOMBARD ST & THE EMBARCADERO,LOMBARD ST,THE EMBARCADERO,,,1/9/2021 2:17:00 PM
2021,2733461,BATTERY ST & BUSH ST,BATTERY ST,BUSH ST,,,1/19/2021 9:30:00 AM
2021,2733537,LAKE ST & 21ST ST,LAKE ST,21ST ST,,,1/6/2021 9:26:00 AM
2021,2733563,GEARY BL & 5TH AV,GEARY BL,5TH AV,,,2/1/2021 10:29:00 AM
2021,2733591,24TH ST & BRYANT ST,24TH ST ,BRYANT ST ,,,1/28/2021 1:45:00 AM
2021,2733592,FRANCISCO ST & VAN NESS AV,FRANCISCO ST,VAN NESS AV,,,1/28/2021 1:27:00 PM
2021,2733594,OCEAN AV & SAN JOSE AV,OCEAN AV,SAN JOSE AV,,,1/28/2021 1:15:00 PM
2021,2733602,17TH ST & CLAYTON ST,17TH ST ,CLAYTON ST ,,,1/21/2021 2:30:00 AM
2021,2733628,OCEAN AV & FRIDA KAHLO WY,OCEAN AV,FRIDA KAHLO WY,,,1/1/2021 4:43:00 PM
2021,2733634,MASONIC AV & FELL ST,MASONIC AV,FELL ST,,,1/3/2021 9:10:00 PM
2021,2733638,HOWARD ST & MARY ST,HOWARD ST,MARY ST,,,1/4/2021 9:05:00 PM
2021,2733644,ELLIS & CYRIL MAGNIN ST,ELLIS,CYRIL MAGNIN ST,,,1/1/2021 12:04:00 AM
2021,2733645,VICENTE ST & SUNSET BL,VICENTE ST,SUNSET BL,,,1/6/2021 5:45:00 PM
